post,guid
Kwacha who could not bear the pain of the loss of his grandchild used sticks to flog his mother to death,15887
My fevorite part of a math problem Is the final solution,17168
Is there any feature of your facebody you actually LIKE,14903
ready to fucking kill myself because of a UTI why must I always get them they're so awful,33211
In my childhood After my father watched any action movies he would put me and my brother to fight I was always praying that he would not watch porn,14645
Life is like a roller coaster but so is rape It has ups and downs but you can choose whether to scream or enjoy the ride,16133
Notice how more reporters are using the term Coverup It's clear amp of course the LiarinChief involved in one,18169
my wife is so fat that i tried to drive around her and i ran out of gas,32910
Seanwelcome to our hate community r u from new york city if so i 'm sure u have some stories or racial issues,20432
See you after 2 hoes Hours I fucking dieeed,162
Cigarettes fucking BOOOOOOM man make my stomach hurt every trip,5768
You can be a good girl all you want and those hoes still gonna get us niggas attention from time to time,19504
How do you turn a fruit into a vegetable,9300
u are going to look like the fucking hamburglar,19727
My uncle took me to his work today and thought me everything he knows Apparently he is some sort of analytic and therapist He likes to call himself an analrapist and it seems that his job is to do manual colonoscopy,17546
WE ALL NEED TO BUILD LOCAL MILLITIAS AND TAKE BACK USA 1776 THE TIME IS NOW 1776 TRUMP CHOOSE YOUR SIDE WILL YOU BE GEORGE WASHINGTON PART 2 THIS IS WAR RISE FOR YOUR COUNTRY RISE FOR OUR COUNTRY 1776 1776,24189
This dude wanted me to go all out rent a big luxury hotel room and also bring a bottle of fine wine at that point I had to bail and say FUCK THAT SHIT because I'm a Poor Boy who right now is recycling my chewing tobacco because I can't afford any right now,23317
Its nice how easily they change their look with various framesFrom blackrimmed to round frames or anything in btween WomenWhoWearGlasses,15372
Its over females cannot logic They cant even fathom what it is to be incel,15358
Why does the house insist on fucking up when I'm home alone,28971
Statutory rape is does come up a lot here but here's a debate from rAskReddit,21435
TripleTalaqArrest Its high time our Naton Muslim Women shld b free frm binding of Triple Talaq Its making life of Muslim Women miserable,1748
Some of you girls think being a bad bitch is all there is in life,21164
Gramps in my day we were tough enough to handle people thinking differently cousin idk u guys freaked when black people used ur bathrooms,8035
Why yall bitches be havin stretch marks on yall upper ass,29272
Apparently her husband's making it big,4498
IM FUCKING SICK OF THESE PORN BOTS LIKING MY TWEETS TWITTER GET YOUR SHIT TOGETHER,13604
I have a dream that my four little children will one day live in a nation where they will not be judge by the color of their skin,112
I don't understand guys that spend fortunes on prostitutes If I want to spend money to have sex I'll just pay the morgue security guard,10347
When I go to just about any Australian city I feel like a foreigner these cities were built by my own flesh and blood I should not feel like an alien in them,27732
why did hitler hate oranges because it had juicejews in it,34934
I'd rather be called nigger than a uncle tom or a mark,1902
Do you know which zodiac sign is most afraid of airplanes It's twins,6495
4 pm you write a film about the silver ghost you spray the scent of banana on the pages send it to the cave,2620
Gerry and Kate McCann walk into a bar That's when I make my move,7759
I can come fck nooooo I could fck noooooo Can you fckkk to da noooo,10005
BUDDY MATE HUN these are the words normies love to patronize us with they can't think with logic and put their emotions aside so they treat us with condescension,4853
Fuck off I'm not allowed to say who but I'm sure you can all figure it out,7564
Good article about male DV victim I like this article from a local paper showing a male victim and his struggles after,7944
Son to father Son Dad I need to tell you something Im gay Dad pulls off belt and drops pants I have waited for this moment for so long,21310
Every run counts Every bit of junk food hurts Do a few pushups Run another minute No mercy it's not a game it's your life,6971
Oral sex is important in any relationship This is why I have such a good relationship with my Dad,18672
Niggas wearing TOMS amp UGGS amp bitches wearing JAYS amp TIMBS Lol this aint what Usher meant when he said Trading Pla,19433
I got a F in chemistry I would only use Ni for Nigger,10607
I fell asleep on the couch with a blue tongue skink on my chest one night and awoke to him biting my neck I guess my Adam 's apple set off a feeding response,10491
I never came to this sight trying to create a disturbance,11763
I looked up his mothers maiden name and it 's Dunham according to my sources,11575
Being teetotal in modern society is a social death sentence Thanks alcoholic parents and drug addicted bullies you've made me into a well adjusted member of this rotten infantile and degenerate society,5021
Disney Who better to produce fakenews than a company that specializes in fairy tales,6414
WHITEVOLCEL If you are white and not either deformed autistic or manlit you are volcel,24210
It's ironic that most of the coverage of the FemaleOnly Senate seems to be sexually biased,15228
people say hitler did nothing wrong but you know what he was fucked up and a horrible person you know why he lost,33106
You like hiphop don't you,30207
The blank stare,2333
I am looking for something more serious but when I want just sex I get it somewhere else Femoid I can't fucking breathe my head hurts reading this,757
If I had a time machine I would Give my dad a condom,13757
i wanted to play a video game but my copy of slave simulator stopped working edit,32133
My niggas bigger then the bouncer roll up in the bitch still smell like an ounce,17415
Got 1 baby mama no bitch no wife,7992
Hey Jeff Flake we are a Republic not a Democracy you idiot,8606
I had a suicidal friend once had,10705
So my grandfather survived Auchwitz Im not sure why people act so suprised when I tell them that The gaurds usually lived,20962
Oh,18331
They want nice guys to finish last but will call anyone who actually says this retarded,23214
DrPerkins is the biggest asshole I've ever met at this university like I've never met someone so rude and inconsiderate before,6731
Minecraft is a game about blcks Blocks dammit BLOCKS,16813
Only reason I'm going back to college Oneitis,18647
Q If Bigamy is having one wife too much what is Monogamy A The Same,19194
I do feel for the Croatian people and I have come across some of them on the internet and they seem to be a decent people and I have also came across the Serbs who seem to jump into bed with loyalists,10178
If I'm sharing my nigga with every other bitch why tf do I want him He ain't no longer special The heck,13787
70 percent of the population can get laid whenever they want Must be nice,2669
How to make a smurf Put blue food coloring in your sperm,9550
How do you know Santa isnt Jewish,9169
Woman signs away her parental rights loses custody battle and decided to run for Texas congress to change laws to be even more biased against fathers,29411
Why do white people read so quickly They can go through over a hundred stories in thirty seconds,28905
The deer are so abundant that they wander into town all the time to munch on lawns,22306
This filth is a sectarian British song not an Irish folk song the sort of scum who wrote and admire this filth have no place on a WN forum yet alone an Irish forum,23329
I feel so lonely i crave the affection of a female so fucking much that it disgust me to touch myself It seems like i know how the affection of a female feels but i will never get it oh God please find me a wife i am sorry for all the sins i have committed if it means deleting my account i would do it right away for a girlfriend,10481
I can help but think that if Men's rights was replaced with feminism there'd be a shitstormdownvote brigane,10015
Potato How many potatoes does it take to kill an Irishman None,19066
Big talk none of you have the balls to tell a skin this to his face,5079
Lauren Southern Slutwalk viral video girl doing an AMA now,16001
That's why you need to be arrested until you stop reading this,22016
Yet you're not paying them So why do you believe that you are in a position to make demands of them,29886
Precision of language asher yr gonna get fucking released,19087
My neighbour Leroy recently had an accident and now he only has one hand He's dealing with it,17394
My mother is getting married today I am the one that she is marrying,17381
lemme find out you twitter beefin with hoes,2869
We'll ask her why she's happy and she'll say because I'm not sad We'll ask her why she's beautiful and she'll say because I'm not ugly,1305
The Republicans hate your guts The Democrats loathe your very existence Neither Party has YOUR interest or that of WeThePeople at heart Vote OUT Democrats and Cuck Republicans at every opportunity Vote FOR MAGAMinded candidates Starting in 2018 Get WITH MAGA or get GONE,22158
This reads like every single toxic masculinity blog post I've seen,23517
Taran Killam just got personal about wife Cobie Smulders in a heartfelt Instagram post,21732
I like my scooters like I like my kids Easy to control and fun to ride,11414
It's funny when my family assumes that I can actually attract women Like when I'm out with them and they tell me I should approach a girl or something top kek,15206
Someone asked for a moment of silence for Stephen Hawking today Hes already had decades of it I think hell be alright,21211
While I was taking the interview the black candidate got furious when I used the N phrase 'Not selected ',28138
Petition to class feminism as a terrorist group has 86 of the signatures it requires,18930
fucking baitest thing whenever I drink alcohol my arms go numb every time,31282
Ran out of condoms Good thing little Susie cant have kids yet,19923
I hate when I ask for extra caramel and they only put a little bit I want my shit drowning in caramel,10824
